"filename", "language", "Markdown", "HTML", "JavaScript", "XML", "JSON", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\Products.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 3, 10, 55
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\SectionBox.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 10, 38
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\TrabajosRealizados.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\TrabajosRealizadosUnit.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 2, 10, 64
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\components\TransitionAnimation.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 3, 3, 20
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Bisagras.scss", "SCSS", 0, 0, 0, 0, 0, 0, 134, 0, 20, 154
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Cajones.scss", "SCSS", 0, 0, 0, 0, 0, 0, 138, 0, 20, 158
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Canteados.scss", "SCSS", 0, 0, 0, 0, 0, 0, 223, 5, 41, 269
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 140, 0, 26, 166
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Catalogue.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Colgadores.scss", "SCSS", 0, 0, 0, 0, 0, 0, 150, 0, 24, 174
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\ContactForm.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 0, 2, 45
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Contacto.scss", "SCSS", 0, 0, 0, 0, 0, 0, 99, 0, 15, 114
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\DiseñoMateriales.scss", "SCSS", 0, 0, 0, 0, 0, 0, 77, 2, 15, 94
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Elevadores.scss", "SCSS", 0, 0, 0, 0, 0, 0, 142, 0, 23, 165
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Encimeras.scss", "SCSS", 0, 0, 0, 0, 0, 0, 945, 10, 188, 1143
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Equipment.scss", "SCSS", 0, 0, 0, 0, 0, 0, 66, 0, 10, 76
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Error404.scss", "SCSS", 0, 0, 0, 0, 0, 0, 126, 0, 16, 142
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 367, 5, 58, 430
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Lacados.scss", "SCSS", 0, 0, 0, 0, 0, 0, 255, 5, 43, 303
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Laminados.scss", "SCSS", 0, 0, 0, 0, 0, 0, 904, 19, 174, 1097
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Logo.scss", "SCSS", 0, 0, 0, 0, 0, 0, 113, 0, 15, 128
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Maderas.scss", "SCSS", 0, 0, 0, 0, 0, 0, 262, 5, 44, 311
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\MainMenu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 53, 1, 15, 69
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Melamina.scss", "SCSS", 0, 0, 0, 0, 0, 0, 364, 8, 76, 448
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\NavBar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 97, 0, 10, 107
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Patas.scss", "SCSS", 0, 0, 0, 0, 0, 0, 155, 0, 24, 179
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Polilaminados.scss", "SCSS", 0, 0, 0, 0, 0, 0, 255, 5, 43, 303
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Products.scss", "SCSS", 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\SectionBox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 85, 0, 10, 95
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\SideBar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 123, 0, 16, 139
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\Tiradores.scss", "SCSS", 0, 0, 0, 0, 0, 0, 171, 0, 23, 194
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\TrabajosRealizados.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\TrabajosRealizadosUnit.scss", "SCSS", 0, 0, 0, 0, 0, 0, 61, 0, 12, 73
"c:\Users\Gunner\Desktop\Proyecto Andrea\final\cocinas\src\styles\TransitionAnimation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 53, 0, 9, 62
"Total", "-", 38, 28, 2865, 1, 17994, 12, 5645, 157, 1348, 28088
